id|schedule|cats|family_id|n|metrics|units|ptypes|yrs|title
06194a4e-38f1-42ae-9606-47bb31b78d86|nightly|regierung-und-oeffentlicher-sektor||7|7|city|year||Europawahl und Stadtratswahl 2024: Straßenabschnittsverzeichnis
46c0f4e1-54dc-41fc-a0bf-b21c0d5047b8|nightly|sonstiges||7|7|city|year||Bestand ukrainischer Einwohnerinnen und Einwohner in Leipzig am 31.1
1bb1c349-2259-450f-a5cb-d769a94a0e75|nightly|sonstiges||6|6|city|year||Schülerzahlen allgemeinbildende Schulen Leipzig seit 2021/22
625db328-8a78-4144-8aee-d55ae50654d8|nightly|regierung-und-oeffentlicher-sektor||6|6|city|year||Kennzahlen zu Wahllokalen in Leipzig
dc7e25ad-17b9-4643-a595-faaf0ff4fd18|nightly|sonstiges||6|6|city|year||Registrierungen ukrainischer Personen in Leipzig im Jahr 2022
19b8f22d-5453-4a6b-abe9-e06738381003|nightly|sonstiges||6|6|city|year||Geo-Koordinaten der Haltestellen Fahrbibliothek
a519a271-322a-43db-b6f7-ad9d50830e5e|nightly|sonstiges||6|6|city|year||Geo-Koordinaten der Haltestellen Schulfahrplan Fahrbibliothek
323580d3-602f-4edf-9bf8-e6479f38cbab|live|sonstiges||6|6|city|year||Anzahl betreute Kinder im Hort/Betreuungsangebot nach Schulen seit 2
f341b052-328f-4e17-87b9-75b079deb97a|nightly|sonstiges||6|6|city|year||Besucherstatistik Städtische Bibliotheken
422139f2-8795-40e4-badf-99fbd94e5214|nightly|sonstiges||6|6|city|year||Inklusion - Anzahl Schüler/-innen mit sonderpäd. Förderbedarf an all
1e6d1ffb-5ff7-4af5-8133-8c0e24577f79|nightly|sonstiges||6|6|city|year||Arbeitssituation Corona-Pandemie nach Geschlecht
6301cc46-855b-4f33-8f70-50c0c441bb8d|nightly|sonstiges||6|6|city|year||Innerstädtische Umzüge ukrainischer Personen innerhalb der Stadt Lei
72f1f5fc-dad9-44a2-b3a8-67b3fad88abd|nightly|regierung-und-oeffentlicher-sektor||5|5|city|year||Bundestagswahl 2025: Geodaten der Wahllokale
363811bb-7137-49e7-ba84-53610c7e17d8|nightly|sonstiges||4|4|city|year||Straßennamensverzeichnis mit Erläuterungen
d5f21df2-b30a-452b-8366-3edc82a7762c|nightly|sonstiges||4|4|city|year||Nutzung öffentlicher Flächen in Kleingartenanlagen
74d29284-1da5-4d45-b0a7-7005ccf64372|nightly|sonstiges||4|4|city|year||Umzugspotenzial Leipziger Haushalte - Kommunale Bürgerumfrage
f0e8dd61-0ea6-4706-8547-e3fd920b28be|nightly|sonstiges||4|4|city|year||Leistungszahlen Leipziger Städtische Bibliotheken
2a43ed7d-5e0a-4cf3-ac06-1f601b4f6c3b|nightly|sonstiges||4|4|city|year||Geo-Koordinaten der Bibliotheken
bc51b6f5-edaf-429b-a1cf-b505806fb55e|nightly|bevoelkerung-und-gesellschaft;regierung-und-oeffentlicher-sektor||3|3|city|year|2005-2005|Repräsentative Wahlstatistik Oberbürgermeisterwahlen - Wahlbeteiligu
c0301522-063c-4b7a-8545-030103ea4fc3|nightly|regierung-und-oeffentlicher-sektor||3|3|city|year||Nachbestellung von Personenstandsurkunden
25eee7f7-9a50-4098-820c-5df3b2eaa40a|nightly|regierung-und-oeffentlicher-sektor||3|3|city|year||Anträge Familienpass
06b56709-b676-4e2c-bd41-de19aa632bba|nightly|sonstiges||3|3|city|year||Prognostizierte und tatsächliche Altersstruktur
a1222ca2-93fc-4d9a-a36c-fb7aae993872|nightly|regierung-und-oeffentlicher-sektor||3|3|city|year||Kontaktaufnahme Bürgertelefon
6368b651-4265-466d-bedd-d13cd63aa84e|nightly|regierung-und-oeffentlicher-sektor||3|3|city|year||Anträge Melderecht
899157f7-ed32-4a28-b8fb-f7d35a02b64c|nightly|regierung-und-oeffentlicher-sektor||3|3|city|year||Beglaubigungen
a24fbeaa-54bb-4c68-ba4e-1f583b7d9a1d|nightly|regierung-und-oeffentlicher-sektor||3|3|city|year||Personenstandsklärungen Standesamt
9323f677-e97b-495f-a779-969e2bb0750f|nightly|bevoelkerung-und-gesellschaft;regierung-und-oeffentlicher-sektor||3|3|city|year|2009-2009|Repräsentative Wahlstatistik Europawahlen - Wahlbeteiligung (seit 20
a3b8108f-c21f-490b-94b8-a483b325ed01|nightly|bevoelkerung-und-gesellschaft;regierung-und-oeffentlicher-sektor||3|3|city|year|2004-2004|Repräsentative Wahlstatistik Landtagswahlen - Wahlbeteiligung (seit 
1dec669f-ec1d-42e8-9774-a70f1591e855|nightly|bevoelkerung-und-gesellschaft;regierung-und-oeffentlicher-sektor||3|3|city|year|1994-1994|Ergebnisse Europawahl seit 1994 (Wahlbezirke)
5e0a7a96-75b7-4669-97db-80dd7bc2c27c|nightly|regierung-und-oeffentlicher-sektor||3|3|city|year||Wahlberechtigte, Wähler/-innen und Briefwähler/-innen seit 1994
2c87782a-ff64-4ba1-99bd-4cff343463a7|nightly|regierung-und-oeffentlicher-sektor||3|3|city|year||Antrag Meldebescheinigung
8dfb40a0-0e27-422f-ae15-c78045bcf72b|nightly|regierung-und-oeffentlicher-sektor||3|3|city|year||Ausgestellte Identitätsdokumente
4aa2ce25-04c8-40de-a25e-80a6cefc5d1e|nightly|regierung-und-oeffentlicher-sektor||3|3|city|year||Stadtratswahl 2024: Bewerberinnen und Bewerber (CSV)
bb383aea-37fc-4bcd-ad24-393f5c996d07|nightly|bildung-kultur-und-sport;wirtschaft-und-finanzen||3|3|city|year||Gästebetten
9defc23f-5edd-4ef0-a3b0-9264fc83f269|nightly|sonstiges||2|2|city|year||Parteienverzeichnis StatAmtLeipzig
