name,created,description,formats
Realsteuervergleich (Jahreszahlen),2023-09-26 12:19:36.171582,"Daten zu den Steuereinnahmen der Stadt Leipzig: Grundsteuer Gewerbesteuer, Einkommensteuer, Umsatzsteuer, Vergnügungsteuer, Hundesteuer, Zweitwohnungssteuer.","CSV, JSON"
Wasserhygiene (Jahreszahlen),2023-09-26 12:19:33.195376,Daten von amtlichen Probeentnahmen aus dem Trinkwasser und aus Badegwässern.,"CSV, JSON"
Immissionen (Jahreszahlen),2023-09-26 12:19:32.963119,"Daten zu den Immissionen von Schwefeldioxid, Stickstoffmonoxid, Stickstoffdioxid, Ozon, Benzol und Feinstaub.","CSV, JSON"
Personennahverkehr (Jahreszahlen),2023-09-26 12:19:30.441722,"Daten zu den Fahrzeugen, Streckenlängen und zum Fahrgastaufkommen in den Bussen und Straßenbahnen der Leipziger Verkehrsbetriebe.","CSV, JSON"
Straßennetz (Jahreszahlen),2023-09-26 12:19:29.206144,"Daten zur Streckenlänge der Leipziger Straßennetzes,  aufgegliedert in Autobahnen, Bundesstraßen, Staatsstraßen, Kreisstraßen und Gemeindestraßen.","CSV, JSON"
Geografische Lage (Jahreszahlen),2023-09-26 12:19:28.326156,"Daten zur Flächenausdehnung, zur Höhenlage des Leipziger Stadtgebiets.","CSV, JSON"
Baugenehmigungen (Quartalszahlen),2023-09-26 12:19:58.789431,"Daten zu den erteilten Baugenehmigungen  mit Einteilung in Neubauten, Wohn- und Nicht-Wohngebäude.","CSV, JSON"
Baugenehmigungen (Jahreszahlen),2023-09-26 12:19:49.429578,"Daten zu den erteilten Baugenehmigungen  mit Einteilung in Neubauten, Wohn- und Nicht-Wohngebäude.","CSV, JSON"
Kommunale Bügerumfrage 2024 - Personengewichtung,2025-11-03 09:32:23.065696,"Ergebnisse der Kommunalen Bürgerumfrage Leipzig 2024 - Auswertung nach Personengewichtung, ohne haushaltsbezogene Fragen","CSV, XLSX"
Stadtratswahlen (kleinräumig),2025-11-10 18:45:32.805649,Kleinräumige Wahlergebnisse der Stadtratswahlen in den Ortsteilen und Stadtbezirken.,"CSV, JSON"
"Bevölkerungsvorausschätzung (Jahreszahlen, kleinräumig)",2025-11-10 18:45:32.394691,Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zur Bevölkerungsvorausschätzung,"CSV, JSON"
"Wohnungsmieten (Jahreszahlen, kleinräumig)",2025-11-10 18:45:31.991284,"Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zu Wohnungsmieten (Grundmiete, Gesamtmiete, Mietbelastung - Umfragedaten)","CSV, JSON"
"Zufriedenheitsfaktoren (Jahreszahlen, kleinräumig)",2025-11-10 18:45:31.816224,Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zur Zufriedenheit der Bevölkerung (Umfragedaten),"CSV, JSON"
"Wohnsituation (Jahreszahlen, kleinräumig)",2025-11-10 18:45:31.472376,"Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zur  Wohnsituation (Anteil Wohneigentum, Wohndauer, Umzugsabsichten - Umfragedaten)","CSV, JSON"
"Schul- und Berufsabschlüsse (Jahreszahlen, kleinräumig)",2025-11-10 18:45:31.300249,Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zu Schul- und Berufsabschlüssen der Leipziger Einwohner (Umfragedaten),"CSV, JSON"
"Nettoeinkommen (Jahreszahlen, kleinräumig)",2025-11-10 18:45:30.934545,Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zu persönlichen und Haushaltsnettoeinkommmen (Umfragedaten),"CSV, JSON"
"Bruttomonatsentgelte (Jahreszahlen, kleinräumig)",2025-11-10 18:45:30.340766,"Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zu den Bruttomonatsentgelten der sozialversicherungspflichtig Vollzeitbeschäftigten nach Geschlecht, Alter, Staatsangehörigkeit, Qualifikation und Wirtschaftszweigen","CSV, JSON"
"Kindertagesbetreuung (Kapazitäten) (Jahreszahlen, kleinräumig)",2025-11-10 18:45:30.021732,Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zur Kindertagesbetreuung (Kapazitäten),"CSV, JSON"
"Kinderspielplätze (Jahreszahlen, kleinräumig)",2025-11-10 18:45:29.757101,Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zu Kinderspielplätzen,"CSV, JSON"
"Lebensunterhalt (Jahreszahlen, kleinräumig)",2025-11-10 18:45:29.291964,Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zu den Quellen des Lebensunterhalts der Haushalte (Umfragedaten),"CSV, JSON"
"Wanderungen (Jahreszahlen, kleinräumig)",2025-11-10 18:45:28.917358,"Kleinräumige Wanderungsdaten auf Ortsteil- und Stadtbezirksebene, darunter innerstädtitsche und außerstädtische Zu- und Wegzüge.","CSV, JSON"
"Handwerksbetriebe (Jahreszahlen, kleinräumig)",2025-11-10 18:45:28.529610,Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zu den Handwerksbetrieben nach Gebwerbegruppen.,"CSV, JSON"
"Alten- und Pflegeheime (Jahreszahlen, kleinräumig)",2025-11-10 18:45:27.722761,Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zu Alten- und Pflegeheimen,"CSV, JSON"
Kommunale Bügerumfrage 2024 - Haushaltsgewichtung,2025-11-03 10:13:23.404147,"Ergebnisse der Kommunalen Bürgerumfrage 2024 - Haushaltsgewichtung, ohne personenbezogene Fragen","CSV, XLSX"
"Einwohner mit Migrationshintergrund (Jahreszahlen, kleinräumig)",2023-09-26 12:20:14.610509,Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zum Migrationshintergrund der Leipziger Bevölkerung.,"CSV, JSON"
Eignungsüberprüfung Fahrerlaubnis,2025-07-28 13:04:58.564690,"Durchgeführte Eigungsüberprüfungen der Fahrerlaubnisbehörde der Stadt Leipzig, nach Jahren.",CSV
Erteilte verkehrsrechtliche Genehmigungen und Ausnahmegenehmigungen gemäß § 46 StVO,2025-10-21 05:02:29.299328,,CSV
Kfz-Zulassung,2025-10-22 05:26:43.764816,Kennzahlen der Kfz-Zulassungsbehörde Leipzig,CSV
Untersagung des Führens von fahrerlaubnisfreien Fahrzeugen,2025-10-21 04:44:46.093168,Unter bestimmten Voraussetzungen kann die Fahrerlaubnisbehörde das Führen von fahrerlaubnisfreien Fahrzeugen untersagen (zum Beispiel Fahrrad und E-Tretroller).,CSV
Entzug Fahrererlaubnis,2025-10-21 04:36:15.608266,Unter bestimmten Voraussetzungen werden Fahrerlaubnisse durch die auch Fahrerlaubnisbehörde entzogen. Mit der Entziehung der Fahrerlaubnis erlischt die Berechtigung zum Führen von Kraftfahrzeugen. Siehe hierzu auch § 3 StVG.,CSV
Kommunale Gebietsgliederung Leipzig: Adressen,2023-04-11 16:02:01.249301,"Verzeichnis aller aktuellen Adressdaten (Straßenschlüssel, Straßenname, Hausnummer, Statistischer Bezirk, Ortsteil) der Stadt Leipzig. Die Daten werden wöchentlich aktualisiert.",CSV
Beherbergungskapazität (Jahreszahlen),2023-09-26 12:19:52.862000,Daten zu den Gästebetten und der Bettenauslastung in den Beherbergungsbetrieben.,"CSV, JSON"
Vergabearten,2025-08-19 10:19:22.408464,Anzahl der durchgeführten Vergaben nach entsprechender Art ab einem Auftragswert von 25.000 Euro ohne Umsatzsteuer.,CSV
Vergabeverfahren,2025-08-19 15:16:28.699846,"Durchgeführte Vergabeverfahren ab erreichen der Wertgrenzen für entsprechende Informationspflichten, d.h. Liefer- und Dienstleistungen ab 50.000 Euro ohne Umsatzsteuer und Bauleistungen ab 75.000 Euro ohne Umsatzsteuer.",CSV
Erteilung/Verlängerung von Fahrerlaubnissen zur Fahrgastbeförderung,2025-07-28 13:27:12.342937,Anzahl der Erteilten/Verlängerten Fahrerlaubnissen zur Fahrgastbeförderung,CSV
Ausgegebene Führerscheine,2025-07-28 12:50:58.075481,"Anzahl der ausgegebenen Führerscheine durch die Fahrerlaubnisbehörde der Stadt Leipzig, nach Jahren.",CSV
Bruttomonatsentgelte (Jahreszahlen),2023-09-26 12:19:53.909446,"Daten der Bundeagentur für Arbeit zu den Bruttomonatsentgelten der sozialversicherungspflichtig Vollzeitbeschäftigten nach Geschlecht, Alter, Staatsangehörigkeit, Qualifikation und Wirtschaftszweigen","CSV, JSON"
Travel-API Leipzig,2022-07-08 07:41:45.922609,"Die Leipzig Tourismus und Marketing GmbH stellt Daten zu folgenden reisebezogenen Themen in und um Leipzig unter einer offenen Lizenz zur Verfügung:

* Gastgeber 
* Veranstaltungen
* Gastronomie
* Touren & Wege
* Ausflugsziele, POIs
* redaktionelle Artikel

Der Zugriff erfolgt nach einmaliger Anmeldung über die Plattform [open.destination.one](https://open.destination.one). Es gelten die [Nutzungsbestimmungen](https://open.destination.one/nutzungsbedingungen/) des Plattformbetreibers:

* Der Datenabrufer stellt sicher, dass die Daten nur so verwendet werden, dass Sie der Lizenz [Creative Commons Namensnennung (CC-BY)](http://dcat-ap.de/def/licenses/cc-by) entsprechen.
* Unabhängig von der CC-Lizenzierung ist folgender Quell-Hinweis bei jedem Datensatz (gilt auch für Datenübersichten u. ä.) anzubringen: powered by open.destination.one (inkl. Back-Link).




",HTML
Finanzhaushalt der Stadt Leipzig 2025/2026,2025-06-25 14:27:45.819825,"Der Finanzhaushalt konzentriert sich auf die Geldflüsse der Stadt. Er zeigt, wie Investitionen finanziert werden und wie die Liquidität geplant ist. Der Fokus liegt auf den Zeitpunkten, zu denen Geldzuflüsse und -abflüsse stattfinden.

Er umfasst Mittelzuflüsse, wie Kredite und Rücklagen, sowie Mittelabflüsse, wie Investitionen und die Tilgung von Schulden. Der Finanzhaushalt stellt dar, wie die Stadt ihre finanziellen Mittel verwaltet.

Der Finanzhaushalt wird in einer Übersicht dargestellt, die die Finanzierungsquellen und -verwendungen aufzeigt, oft in Form einer Cashflow-Rechnung.

Der Finanzhaushalt betrachtet die Geldströme und die Finanzierung von Investitionen.
",XLSX
Ergebnishaushalt der Stadt Leipzig 2025/2026,2025-06-25 14:09:21.070986,"Der Ergebnishaushalt dient dazu, die wirtschaftliche Lage der Stadt darzustellen. Er zeigt, ob die Einnahmen die Ausgaben übersteigen oder nicht, und gibt Auskunft über die Erträge und Aufwendungen der Verwaltung.

Er beinhaltet die Einnahmen, wie Steuern und Gebühren, sowie die Ausgaben, etwa für Dienstleistungen und Personal, die in einem bestimmten Zeitraum anfallen. Der Ergebnishaushalt zeigt das Ergebnis der laufenden Verwaltung.

Er wird oft in Form einer Gewinn- und Verlustrechnung präsentiert, die die Erträge und Aufwendungen gegenüberstellt.

Der Ergebnishaushalt legt den Fokus auf die wirtschaftliche Lage und die laufende Verwaltung der Stadt.
",XLSX
Wohnungsmieten (Quartalszahlen),2023-09-26 12:19:58.584810,Daten aus der Kommunalen Bürgerumfrage zur Mietbelastung der Haushalte.,"CSV, JSON"
Nettoeinkommen (Jahreszahlen),2023-09-26 12:19:53.571315,"Daten aus der Kommunalen Bürgerumfragezum persönlichem und zum Haushalts- Nettoeinkommen, gegliedert nach der Haushaltsgröße und Altersklassen.","CSV, JSON"
Lebensunterhalt (Jahreszahlen),2023-09-26 12:19:53.315455,"Daten aus der Kommunalen Bürgerumfrage zur Quelle des Lebensunterhaltes: Erwerbseinkommen, Arbeitslosenbezüge, Renten und Pensionen sowie übrige Einkommen.","CSV, JSON"
Handwerksbetriebe (Jahreszahlen),2023-09-26 12:19:51.528254,"Daten zu den bei der Handwerkskammer zu Leipzig registrierten Handwerks- und handwerskähnlichen Betrieben, aufgeteilt nach Gewerbegruppen.","CSV, JSON"
Wohnungsmieten (Jahreszahlen),2023-09-26 12:19:48.988616,Daten aus der Kommunalen Bürgerumfrage zur Mietbelastung der Haushalte.,"CSV, JSON"
Wohnsituation (Jahreszahlen),2023-09-26 12:19:47.999817,"Daten aus der Kommunalen Bürgerumfrage zur Wohnsituation der Haushalte: Wohnstatus, Wohnfläche und Wohnräume.","CSV, JSON"
Volkshochschule (Jahreszahlen),2023-09-26 12:19:47.109830,Daten zu den Veranstaltungen und den Teilnehmern an Kursen der Leipziger Volkshochschule.,"CSV, JSON"
Hochschulen (Jahreszahlen),2023-09-26 12:19:46.838275,Daten zu den Universitäten und Hochschulen in Leipzig; zu jeder Hochschule sind die Zahl der Studenten und der Personalbestand angegeben.,"CSV, JSON"
Bibliotheken (Jahreszahlen),2023-09-26 12:19:31.537690,"Daten zum Buchbestand und den Beuschern in den Leipziger Bibliotheken: Deutsche Nationalbibliothek, Universitätsbibliothek, Deutsche Zentralbücherei für Blinde, Leipziger Städtische Bibliotheken.","CSV, JSON"
Wetterdaten (Jahreszahlen),2023-09-26 12:19:28.904366,"Daten zur Lufttemperatur, Sonnenscheindauer und Niederschlägen.","CSV, JSON"
LVB-Fahrplandaten,2017-12-15 08:32:04.803159,"Die Leipziger Verkehrsbetriebe (LVB) stellen hierin Bus- und Bahn-Fahrplandaten aus Leipzig im GTFS-Format zur Verfügung.  Diese enthalten Linien, Abfahrtzeiten, Routen usw.",GTFS
Anträge Familienpass,2025-06-13 11:15:02.298899,"Anträge auf Ausstellung eines Familienpasses, gegliedert nach digitalem oder analogem Antragseingang.",CSV
Anträge Melderecht,2025-06-13 13:08:03.433566,"Anträge auf Abmeldung Wohnsitz ins Ausland, Wohnsitzan-, Wohnsitzum- und -abmeldung und Abmeldung Nebenwohnsitz.",CSV
Personenstandsklärungen Standesamt,2025-06-13 13:35:02.496817,"Personen, die nicht in Deutschland geheiratet haben, können Unterlagen vorlegen, um den Familienstand nach deutschem Recht feststellen zu lassen",CSV
Ausgestellte Identitätsdokumente,2025-06-13 13:50:13.103781,"*   Personalausweise
*   Reisepässe
*   Kinderreisepässe (bis Ende 2023)",CSV
Antrag Meldebescheinigung,2025-06-13 14:06:53.294668,Anträge auf Erteilung einer Meldebescheinigung. Trennung nach analogem und digitalem Antragseingang.,CSV
Beglaubigungen,2025-06-13 14:18:15.374716,Anzahl beglaubigter Dokumente in den Bürgerbüros.,CSV
Nachbestellung von Personenstandsurkunden,2025-06-13 12:49:35.294077,Anträge auf Ausstellung von Personenstandsurkunden sowie die Ausstellungszahlen.,CSV
Anträge Führungszeugnis,2025-06-13 11:28:19.502451,"Anträge auf Ausstellung eines Führungszeugnisses, gegliedert nach digitalem oder analogem Antragseingang.",CSV
Bundestagswahl 2025: Straßenabschnittsverzeichnis,2025-01-14 10:39:08.430936,Straßenabschnittsverzeichnis der Stadt Leipzig mit Wahlkreisen und Wahlbezirken zur Bundestagswahl 2025.,CSV
Ortschaftsratswahlen 2024: Wahlbezirksergebnisse,2024-06-06 10:01:21.370098,"Eine Liste der verfügbaren Ergebnisse aus den Ortschaftsratswahlen am 9.6.2024, sowie Dokumentation zur Interpretation der Dateien, finden sich unter https://wahlergebnis.leipzig.de/4/eu2024/14713000/praesentation/opendata.html

Die verfügbaren CSVs enthalten die abgegebenen Stimmen, nicht die resultierende Sitzverteilung.

Die Zuordnung von Adressen und Wahlbezirken zu den Ortschaften kann dem zugehörigen Straßenabschnittsverzeichnis entnommen werden: https://opendata.leipzig.de/dataset/06194a4e-38f1-42ae-9606-47bb31b78d86",CSV
Kontaktaufnahme Bürgertelefon,2025-06-13 06:00:10.327442,"Daten zu eingehenden E-Mails sowie angenommenen Anrufen des Bürgertelefons Leipzig über die Nummern 0341 123-0; 0341 115, 115.",CSV
Online-Wahlen in Leipzig: Kennzahlen (Zeitreihe),2025-05-26 14:25:04.776926,"Wahltermine, Wahlberechtigten-, Wähler- und Kandidierendenzahlen für die Jugendparlamentswahlen und die Wahlen zum Migrantinnen- und Migrantenbeirat

###Spaltenerklärungen:
* datum: Wahltag laut Wahlordnung
* wahl: Wahlart
* zeitraum-start: Beginn des Zeitraums zur Online-Stimmabgabe
* zeitraum-ende: Ende des Zeitraums zur Online-Stimmabgabe
* gebiet-name: räumlicher Bezug
* wahlberechtigte: 
* kandidierende: Zahl der Kandidat/-innen
* sitze: durch die Wahl zu vergebende Sitze im Gremium
* waehler-gesamt: Anzahl der Wähler/-innen im gesamten Zeitraum
* wahler-t1 ... waehler-t8: Anzahl der Wähler/-innen jeweils an Tag 1 (i.d.R. Montag vor dem Wahltag ab 8:00 Uhr) bis Tag 8 (i.d.R. Montag nach dem Wahltag bis 8:00 Uhr)
* gueltige-stimmen: gültige abgegebene Stimmen (i.d.R. eine bis drei pro Wähler/-in möglich)
* ungueltige-stimmzettel: ungültige abgegebene Online-Stimmzettel (i.d.R. mit weniger als einer oder mehr als drei abgegebenen Stimmen)",CSV
Migrantinnen- und Migrantenbeiratswahl 2025: Wahlergebnis,2025-05-26 14:13:01.407717,"Wahlergebnis der 2. Online-Wahl zum Migrantinnen- und Migrantenbeirat der Stadt Leipzig

###Spaltenerklärungen:
* stimmzettelposition: Reihenfolge der Kandidierenden auf dem Online-Stimmzettel (ausgelost)
* name: Vor- und Familiennamen der Kandidierenden
* stimmen: Anzahl der Stimmen je Kandidat/-in
* gewaehlt: Status, ob durch das Ergebnis ein Platz auf der Vorschlagsliste für den Stadtrat errungen wurde
* herkunftsregion: Zugehörigkeit der Kandidierenden durch eine der Herkunftsregionen laut Wahlordnung",CSV
Jugendparlamentswahl 2025: Wahlergebnis,2025-05-26 14:31:15.968400,"Wahlergebnis der 6. Online-Wahl zum Jugendparlament der Stadt Leipzig

###Spaltenerklärungen:
* stimmzettelposition: Reihenfolge der Kandidierenden auf dem Online-Stimmzettel (ausgelost)
* name: Vor- und Familiennamen der Kandidierenden
* stimmen: Anzahl der Stimmen je Kandidat/-in
* gewaehlt: Status, ob durch das Ergebnis ein Sitz errungen wurde",CSV
Kennzahlen zu Wahllokalen in Leipzig,2025-05-26 07:34:29.055032,"Anzahl Wahlräume, Wahlobjekte, Art der Objekte und Barrierefreiheit

###Spaltenerklärungen:
* datum: Wahltag
* wahl: Wahlart
* gebiet-name: räumlicher Bezug
* wahlraeume: Zahl der Wahlräume (ein Wahlraum pro Wahlbezirk)
* wahlraeume-barrierefrei: Anzahl der für Personen mit Gehbehinderung bzw. Rollstuhl zugänglichen Wahlräume
* wahlobjekte: Anzahl der Gebäude/ Adressen, die für Wahlräume genutzt wurden (mehrere Wahlräume in einem Wahlobjekt möglich)
* wahllobjekte-städtisch-schulen: Anzahl der als Wahlobjekt genutzten Schulen
* wahlobjekte-städtisch-sonstige: sonstige als Wahlobjekt genutzte städtische Liegenschaften wie Rathäuser oder Feuerwachen
* wahlobjekte-fremd: angemietete Wahlobjekte, die nicht in städtischem Besitz sind",CSV
"Wahlberechtigte, Wähler/-innen und Briefwähler/-innen seit 1994",2025-05-26 06:48:41.012497,"Wahlberechtigte, Wähler/-innen und Briefwähler/-innen seit 1994

###Spaltenerklärungen:
* datum: Wahltag
* wahl: Wahlart
* gebiet-name: räumlicher Bezug
* wahlberechtigte: Gesamtzahl wahlberechtigter Personen im Wählerverzeichnis
* waehler-gesamt: Gesamtzahl aller Wähler/-innen (Urnenwahl und Briefwahl)
* briefwaehler: zugelassene Wahlbriefe bei der Auszählung der Briefwahlbezirke (ohne Stimmabgaben mit Wahlschein in Wahllokalen)",CSV
Bundestagswahl 2025: Geodaten der Briefwahlbezirke,2025-01-14 10:30:53.870944,"Dieser Datensatz enthält die Geodaten der Leipziger Briefwahlbezirke für die Bundestagswahl am 23.2.2025. Brief-Wahlbezirke setzen sich geographisch aus Urnen-Wahlbezirken zusammen, diese finden sich unter https://opendata.leipzig.de/dataset/bundestagswahl-2025-geodaten-der-wahlbezirke.

Die erste Stelle der Wahlbezirks-Nummer entspricht der Stadtbezirksnummer, die ersten beiden Stellen der Wahlbezirks-Nummer entsprechen der Ortsteilnummer.

Die Wahlkreise finden sich unter https://opendata.leipzig.de/dataset/bundestagswahl-2025-wahlkreise.

Das zugehörige Straßenabschnittsverzeichnis mit den zugeordneten Adressen und Wahlkreisen findet sich unter https://opendata.leipzig.de/dataset/bundestagswahl-2025-strassenabschnittsverzeichnis",SHP
"Bodenrichtwerte, Stadt Leipzig",2023-09-29 10:02:25.704702,"Der Gutachterausschuss in der Stadt Leipzig ermittelt und veröffentlicht gemäß §196 BauGB mindestens aller zwei Jahre die Bodenrichtwerte für das Gebiet der Stadt Leipzig bezogen auf den 1. Januar eines Jahres bzw. bis 2021 auf den 31. Dezember eines Jahres. Bodenrichtwerte sind durchschnittliche Lagewerte für den Boden unter Berücksichtigung der unterschiedlichen Entwicklungszustände angegeben pro Quadratmeter Grundstücksfläche. Bodenrichtwertzonen umfassen Gebiete, die nach Art und Maß der Nutzung weitgehend übereinstimmen. Die wertbeeinflussenden Merkmale des Bodenrichtwertgrundstücks sind dargestellt. Die Ermittlung der Bodenrichtwerte erfolgt gemäß der Regelungen der ImmoWertV. Dieser WMS-Dienst stellt die Bodenrichtwerte für das Gebiet der Stadt Leipzig beginnend ab dem Jahr 2010 bereit und enthält, soweit im jeweiligen Jahr verfügbar, die Ebenen ""Bodenrichtwertzone"", ""Bodenrichtwertgrundstück"", ""Entwicklungsmaßnahme"", ""Sanierungsgebiet"", ""Lagequalität"" sowie verschiedene Beschriftungsebenen.",WMS
Unfälle mit Radbeteiligung,2022-09-13 07:49:24.470707,"Dieser Datensatz stellt Informationen zu Unfällen bereit, die in Leipzig im Zeitraum von 2016-2021 stattgefunden haben. Diese Daten wurden aus dem bundesweiten Unfallatlas von destatis extrahiert. Die Angaben stammen aus der Statistik der Straßenverkehrsunfälle, die auf Meldungen der Polizeidienststellen basiert. 
",CSV
Bundestagswahl 2025: Geodaten der Wahlkreise,2025-01-14 10:34:43.434257,Die Datei enthält die Geodaten der Leipziger Wahlkreiseinteilung für die Bundestagswahl 2025.,SHP
Bundestagswahl 2025: Geodaten der Wahlbezirke,2025-01-14 09:34:43.814229,"Dieser Datensatz enthält die Geodaten der Leipziger Urnen-Wahlbezirke für die Bundestagswahl am 23.2.2025. Briefwahlbezirke setzen sich geographisch aus Urnen-Wahlbezirken zusammen, diese finden sich unter https://opendata.leipzig.de/dataset/bundestagswahl-2025-geodaten-der-briefwahlbezirke.

Die erste Stelle der Wahlbezirks-Nummer entspricht der Stadtbezirksnummer, die ersten beiden Stellen der Wahlbezirks-Nummer entsprechen der Ortsteilnummer.

Die Wahlkreise finden sich unter https://opendata.leipzig.de/dataset/bundestagswahl-2025-wahlkreise.

Das zugehörige Straßenabschnittsverzeichnis mit den zugeordneten Adressen und Wahlkreisen findet sich unter https://opendata.leipzig.de/dataset/bundestagswahl-2025-strassenabschnittsverzeichnis",SHP
"Ärzte (Jahreszahlen, kleinräumig)",2024-03-02 15:06:40.715189,Kleinräumige Daten zu niedergelassenen Ärzten in den Ortsteilen und Stadtbezirken.,"CSV, JSON"
"Einwohner (Jahreszahlen, kleinräumig)",2023-09-26 12:20:14.413696,Kleinräumige Einwohnerdaten auf Ortsteil- und Stadtbezirksebene nach Geschlecht und Staatsangehörigkeit.,"CSV, JSON"
"Apotheken (Jahreszahlen, kleinräumig)",2023-09-26 12:20:01.336744,Kleinräumige Daten zu Apotheken in den Ortsteilen und Stadtbezirken.,"CSV, JSON"
"Kraftfahrzeugbestand (Jahreszahlen, kleinräumig)",2023-09-26 12:20:14.258132,"Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zum Bestand an Kraftfahrzeugen, darunter Personenkraftwagen, Nutzfahrzeuge, Krafträder und Anhänger.","CSV, JSON"
Stadtratswahl 2024: Stadtergebnis,2024-06-06 09:41:38.166636,"Wahlergebnisse zur Stadtratswahl am 9.6.2024 im Leipziger Stadtgebiet.

Dieser Datensatz enthält nur die abgegebenen Stimmen, nicht die daraus resultierende Sitzverteilung.",CSV
Vornamenstatistik 2024,2025-01-06 11:10:17.215452,,CSV
"Arbeitslose (Jahreszahlen, kleinräumig)",2024-03-02 15:06:36.184826,Kleinräumige Daten zu den Arbeitslosen in den Ortsteilen und Stadtbezirken.,"CSV, JSON"
"Allgemeinbildende Schulen (Jahreszahlen, kleinräumig)",2023-09-26 12:20:12.501959,"Kleinräumige Daten auf Ortsteil- und Stadtbezirksebene zu Allgemeinbildenden Schulen und Schülern, darunter Grunschulen, MIttelschulen, Gymnasien und Förderschulen.","CSV, JSON"
Aufwendungen für Kindertageseinrichtungen (Jahreszahlen),2023-09-26 12:19:45.225854,"Daten zur Entwicklung Erträge, Zuschüsse und Aufwendungen für Kindertageseinrichtungen","CSV, JSON"
Aufwendungen für Erziehungshilfen (Jahreszahlen),2023-09-26 12:19:44.955955,Daten zu Aufwendungen für Erziehungshilfen,"CSV, JSON"
Insolvenzverfahren (Jahreszahlen),2023-09-26 12:19:52.669194,"Daten zu den Unternehmensinsolvenzen, unterteilt in die Wirtschaftsabteilungen der Klassifikation der Wirtschaftszweige (WZ 2008).","CSV, JSON"
Gewerbemeldungen (Jahreszahlen),2023-09-26 12:19:52.433213,"Daten zu den Gewerbean- und abmeldungen, unterteilt in die Wirtschaftsabteilungen der Klassifikation der Wirtschaftszweige (WZ 2008).","CSV, JSON"
Tagespflege (Jahreszahlen),2023-09-26 12:19:42.157170,Daten zur Tagespflege von Kindern,"CSV, JSON"
Kindertageseinrichtungen (Jahreszahlen),2023-09-26 12:19:39.801070,"Daten zu Kindertageseinrichtungen, deren Kapazität und angemeldeten Kinder.","CSV, JSON"
LeipzigGiesst gegossene Liter Jahresstatistik 2024,2025-04-08 19:54:06.472128,"Gegossene Liter pro Straßenbaum, wie sie durch die Nutzer in app.LeipzigGiesst.de eingetragen wurden, aufsummiert im Zeitraum von 1. März 2024 bis 30. September 2024. Es werden die Daten des Baumkatasters für die Identifikation des jeweiligen Baums verwendet (aber auch Baum-Daten von OpenStreetMap.org)",CSV
Geförderte Wohnraumanpassungen (Jahreszahlen),2023-09-26 12:19:45.995229,Daten zu geförderten Wohnraumanpassungen,"CSV, JSON"
Erziehungshilfen für Minderjährige (Jahreszahlen),2023-09-26 12:19:44.714710,Daten zu Erziehungshilfen für Minderjährige und junge Volljährige nach Hilfearten ,"CSV, JSON"
Verweildauer in Notunterkünften (Jahreszahlen),2023-09-26 12:19:43.357782,Daten zur durchschnittlichen Verweildauer in Leipziger Notunterkünften.,"CSV, JSON"
Fälle ambulant betreuten Wohnens (Jahreszahlen),2023-09-26 12:19:42.731510,Daten zu Fällen ambulant betreuten Wohnens.,"CSV, JSON"
Durchschnittliche Anzahl obdachloser und wohnungsloser Personen (Jahreszahlen),2023-09-26 12:19:41.832637,"Daten zur durchschnittlichen Anzahl obdachloser und wohnungsloser Personen, die auf der Straße angetroffen wurden.","CSV, JSON"
Übernahme von Mietschulden (Jahreszahlen),2023-09-26 12:19:41.550602,Daten zur Übernahme von Mietschulden.,"CSV, JSON"
Von Wohnungslosigkeit bedrohte Haushalte  (Jahreszahlen),2023-09-26 12:19:40.797405,"Daten zu Haushalten, die von Wohnungslosigkeit bedroht sind.","CSV, JSON"
Vermittlung wohnungssuchender Haushalte mit Wohnberechtigungsschein (Jahreszahlen),2023-09-26 12:19:40.437887,,"CSV, JSON"
Wohnraumversorgung mit Wohnberechtigungsschein (Jahreszahlen),2023-09-26 12:19:40.116284,,"CSV, JSON"
Europawahl 2024: Stadtbezirksergebnisse,2024-06-06 09:01:10.825643,"Wahlergebnisse zur Europawahl am 9.6.2024 in den Leipziger Stadtbezirken.

Die Geodaten der Stadtbezirke finden sich unter https://opendata.leipzig.de/dataset/eebf6dcb-6806-4c3f-8f25-d2763cae3da6
",CSV
