name,created,description,formats
Wanderungen (Melderegisterdaten) (Quartalszahlen),2023-09-26 12:19:57.879506,Daten zu den Zuzügen und Fortzügen von und nach der Stadt Leipzig nach Geschlecht und Staatsangehörigkeit.,"CSV, JSON"
Geborene und Gestorbene (Melderegisterdaten) (Quartalszahlen),2023-09-26 12:19:57.387687,Daten zu den Geburten und Sterbefällen nach Geschlecht.,"CSV, JSON"
Einwohner (Quartalszahlen),2023-09-26 12:19:56.839347,Daten zur Bevölkerung (Einwohner mit Hauptwohnsitz) nach Geschlecht und Staatsangehörigkeit.,"CSV, JSON"
Arbeitslose (Jahreszahlen),2023-09-26 12:19:50.372589,Daten zu den Arbeitslosen in der Stadt Leipzig gegliedert u.a. nach Rechstkreis und Altersgruppen.,"CSV, JSON"
Wanderungen (Melderegisterdaten) (Jahreszahlen),2023-09-26 12:19:39.097723,Daten zu den Zuzügen und Fortzügen von und nach der Stadt Leipzig nach Geschlecht und Staatsangehörigkeit.,"CSV, JSON"
Geborene und Gestorbene (Melderegisterdaten) (Jahreszahlen),2023-09-26 12:19:38.368951,Daten zu den Geburten und Sterbefällen nach Geschlecht.,"CSV, JSON"
Einwohner (Jahreszahlen),2023-09-26 12:19:37.073697,Daten zur Bevölkerung (Einwohner mit Hauptwohnsitz) nach Geschlecht und Staatsangehörigkeit.,"CSV, JSON"
Kraftfahrzeugbestand (Jahreszahlen),2023-09-26 12:19:29.753168,"Daten zu den zugelassenen Kraftfahrzeugen, aufgegliedert in Personenkraftwagen, Nutzfahrzeuge, Krafträder und Kraftfahrzeuganhänger.","CSV, JSON"
Frühjahrsputztermine,2025-01-22 13:08:37.360683,Liste der zu veröffentlichenden Frühjahrsputz-Termine,CSV
Digitale Stadtgrundkarte Leipzig (DSGK),2026-03-25 18:59:27.641675,"Die Digitale Stadtgrundkarte Leipzig (DSGK) im Maßstab 1:1.000 ist die detaillierteste Basiskarte des Stadtgebiets für Arbeitsbereiche von 1:250 bis 1:2.500. Sie umfasst rund 50 Objektklassen mit etwa 2,5 Millionen Objekten zu Gebäuden, Infrastruktur, Verkehr, Vegetation, Gewässern und Relief. Mehrere kartographische Modelle stehen zur Verfügung, darunter farbige Flächenfüllungen, hell- und dunkelgrau sowie Schraffuren. Kartenauszüge sind als PDF und GeoTIFF erhältlich und es können auch WMS-, WMTS- oder Kartenbild-Dienste genutzt werden; zukünftig sind WFS- und Vector-Tile-Dienste geplant. Vektorbasierte Datenauszüge stehen als DWG, DXF, Shapefile, GeoPackage und GeoJSON bereit; für Shapefile und GeoPackage wird zusätzlich eine QGIS-Projektdatei mit Layerstruktur bereitgestellt.","DWG, DXF, GEOJSON, GPKG, SHP, WMS"
